,Address,Area,Bathrooms,Possession,Price,Project Name,Rooms,Status
0,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
2,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
3,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
4,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
5,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
6,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
7,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
8,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
9,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
10,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
11,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
12,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
13,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
14,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
15,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
16,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
17,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
18,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
19,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
20,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
21,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
22,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
23,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
24,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
25,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
26,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
27,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
28,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
29,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
30,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
31,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
32,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
33,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
34,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
35,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
36,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
37,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
38,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
39,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
40,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
41,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
42,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
43,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
44,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
45,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
46,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
47,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
48,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
49,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
50,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
51,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
52,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
53,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
54,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
55,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
56,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
57,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
58,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
59,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
60,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
61,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
62,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
63,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
64,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
65,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
66,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
67,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
68,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
69,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
70,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
71,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
72,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
73,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
74,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
75,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
76,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
77,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
78,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
79,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
80,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
81,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
82,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
83,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
84,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
85,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
86,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
87,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
88,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
89,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
90,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
91,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
92,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
93,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
94,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
95,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
96,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
97,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
98,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
99,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
100,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
101,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
102,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
103,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
104,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
105,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
106,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
107,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
108,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
109,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
110,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
111,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
